schedtime,carrier,deptime,destination,distance,flightnumber,origin,weather,dayweek,daymonth,delay
830,DL,828,LGA,214,1744,DCA,0,6,17,ontime
1230,DL,1231,LGA,214,1752,DCA,0,1,19,ontime
900,MQ,858,LGA,214,4956,DCA,0,1,19,ontime
1245,DH,1324,LGA,229,7208,IAD,0,4,22,delayed
900,MQ,857,LGA,214,4956,DCA,0,3,21,ontime
1800,US,1756,LGA,214,2182,DCA,0,1,26,ontime
630,US,625,LGA,214,1479,DCA,0,4,22,ontime
1030,RU,1235,EWR,169,2303,BWI,0,7,4,delayed
2120,DH,2120,EWR,213,7304,IAD,0,5,16,ontime
850,UA,848,LGA,229,846,IAD,0,4,8,ontime
840,DH,848,EWR,213,7299,IAD,0,3,14,ontime
2100,RU,2052,EWR,199,2879,DCA,0,2,20,ontime
1830,MQ,1843,JFK,213,4784,DCA,0,2,6,ontime
1630,RU,1624,EWR,199,2181,DCA,0,2,20,ontime
1300,RU,1253,EWR,213,2692,IAD,0,1,12,ontime
1500,US,1458,LGA,214,2176,DCA,0,6,10,ontime
1900,MQ,2004,LGA,214,4976,DCA,0,7,18,delayed
1730,CO,1846,EWR,199,814,DCA,0,1,5,delayed
2030,DL,2031,LGA,214,1768,DCA,0,4,29,ontime
1900,CO,1856,EWR,199,816,DCA,0,2,20,ontime
1359,RU,1355,EWR,199,2216,DCA,0,3,14,ontime
1710,DH,1917,EWR,213,7302,IAD,0,7,4,delayed
1030,RU,1044,EWR,169,2303,BWI,0,3,7,delayed
1530,DL,1531,LGA,214,1758,DCA,0,4,29,ontime
1715,DH,1712,LGA,229,7215,IAD,0,7,11,ontime
1030,DL,1032,LGA,214,1748,DCA,0,5,9,ontime
850,UA,847,LGA,229,846,IAD,0,4,22,ontime
840,DH,831,EWR,213,7299,IAD,0,1,12,ontime
930,DL,930,LGA,214,1746,DCA,0,5,2,ontime
1600,US,1558,LGA,214,2178,DCA,0,5,16,ontime
1455,DL,1506,JFK,213,746,DCA,0,5,9,ontime
1800,US,1758,LGA,214,2182,DCA,0,2,6,ontime
1900,MQ,2012,LGA,214,4976,DCA,0,4,15,delayed
1030,DL,1028,LGA,214,1748,DCA,0,7,11,ontime
1230,DL,1230,LGA,214,1752,DCA,0,4,29,ontime
1715,DH,1802,LGA,229,7215,IAD,0,7,18,delayed
1700,RU,1656,EWR,213,2497,IAD,0,2,6,ontime
1300,MQ,1251,LGA,214,4964,DCA,0,5,30,ontime
1245,DH,1237,EWR,213,7303,IAD,0,4,15,ontime
800,US,815,LGA,214,2162,DCA,0,4,15,ontime
1455,DH,1445,LGA,229,7211,IAD,0,1,19,ontime
1500,MQ,1459,LGA,214,4968,DCA,0,4,22,ontime
1720,RU,1726,EWR,169,3372,BWI,0,3,21,delayed
1900,RU,1901,EWR,213,2385,IAD,0,2,6,delayed
630,DH,627,EWR,213,7305,IAD,0,4,29,ontime
1600,US,1558,LGA,214,2178,DCA,0,3,21,ontime
1100,MQ,1100,LGA,214,4960,DCA,0,2,6,ontime
1000,US,954,LGA,214,2166,DCA,0,7,18,ontime
1455,RU,1453,EWR,169,2403,BWI,0,2,20,ontime
2130,RU,2244,EWR,199,2879,DCA,0,7,25,delayed
1900,US,1857,LGA,214,2184,DCA,0,6,3,ontime
1530,MQ,1538,JFK,213,4752,DCA,0,1,5,ontime
1455,OH,1500,JFK,184,5935,BWI,0,3,28,ontime
840,DH,835,EWR,213,7299,IAD,0,6,17,ontime
1630,DL,1630,LGA,214,1760,DCA,0,5,16,ontime
1900,US,1856,LGA,214,2184,DCA,0,6,31,ontime
730,DL,728,LGA,214,1742,DCA,0,2,6,ontime
1700,MQ,1654,LGA,214,4972,DCA,0,2,6,ontime
700,RU,658,EWR,213,2855,IAD,0,6,17,ontime
840,DH,836,JFK,228,7800,IAD,0,3,21,ontime
2120,DH,2153,JFK,228,7814,IAD,0,2,6,delayed
2120,DH,2111,JFK,228,7814,IAD,0,7,18,ontime
1030,DL,1029,LGA,214,1748,DCA,0,5,23,ontime
645,RU,641,EWR,199,2761,DCA,0,6,17,ontime
2100,US,2055,LGA,214,2188,DCA,0,5,23,ontime
630,DL,630,LGA,214,1740,DCA,0,3,21,ontime
1300,RU,1254,EWR,213,2367,IAD,0,3,7,ontime
850,UA,904,LGA,229,846,IAD,0,5,9,delayed
1500,US,1456,LGA,214,2176,DCA,0,7,4,ontime
930,RU,925,EWR,199,2582,DCA,0,7,18,ontime
930,RU,926,EWR,199,2582,DCA,0,7,11,ontime
1330,DL,1327,LGA,214,1754,DCA,0,2,6,ontime
1900,CO,1915,EWR,199,816,DCA,0,3,14,ontime
1830,DL,1829,LGA,214,1764,DCA,0,5,9,ontime
1715,DH,1922,LGA,229,7215,IAD,0,2,13,delayed
600,MQ,557,JFK,213,4760,DCA,0,6,10,delayed
1400,US,1356,LGA,214,2174,DCA,0,7,18,ontime
645,RU,643,EWR,199,2761,DCA,0,5,30,ontime
1130,DL,1129,LGA,214,1750,DCA,0,2,20,ontime
1230,DL,1228,LGA,214,1752,DCA,0,4,1,ontime
1730,RU,1728,EWR,199,2097,DCA,0,6,24,ontime
1800,US,1759,LGA,214,2182,DCA,0,4,22,ontime
1500,MQ,1458,LGA,214,4968,DCA,0,2,20,ontime
640,DH,640,LGA,229,7790,IAD,0,3,14,ontime
1240,DH,1243,JFK,228,7806,IAD,0,3,14,ontime
735,CO,728,EWR,199,806,DCA,0,5,23,ontime
630,US,627,LGA,214,1479,DCA,0,3,14,ontime
2120,DH,2214,JFK,228,7814,IAD,0,5,30,delayed
1630,DL,1630,LGA,214,1760,DCA,0,1,12,ontime
1600,MQ,1703,LGA,214,4970,DCA,0,5,30,delayed
700,RU,656,EWR,213,2855,IAD,0,3,14,ontime
900,RU,856,EWR,199,2582,DCA,0,3,7,ontime
1455,DL,1458,JFK,213,746,DCA,0,5,2,ontime
1645,DH,1639,JFK,228,7810,IAD,0,4,8,ontime
